Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 26/09/2017		Session Time: 3:55:12 PM
Start Time: 00:00:00.000		End Time: 00:01:00.750

EEG-C,EEG-D
256,256
22.334,72.933
21.821,62.585
7.529,28.578
-1.253,-8.345
1.666,-0.305
0.076,-25.999
-8.057,-68.950
-4.917,-35.746
6.011,45.694
6.649,52.832
-4.276,-20.247
-12.078,-62.778
-10.670,-27.438
-3.372,15.634
1.837,18.062
-2.730,-3.970
-8.818,-11.883
-4.082,-0.430
-0.245,-6.418
-4.578,-18.527
-4.510,4.400
3.157,43.175
7.015,45.220
1.046,1.582
-7.811,-47.784
-6.997,-38.946
-0.683,11.108
-2.248,27.290
-9.945,-9.335
-13.669,-43.797
-8.256,-16.767
0.840,36.889
1.701,35.416
-3.982,-12.138
-7.866,-35.349
-6.360,-8.096
-2.952,20.817
1.276,17.828
4.668,1.678
1.667,-5.527
-1.063,1.322
-2.944,-3.857
-6.414,-22.267
-5.677,-17.897
-1.138,16.694
2.151,29.795
2.667,-5.313
3.324,-34.580
7.503,-10.102
8.991,29.793
6.115,24.154
3.879,-11.632
5.430,-21.613
9.543,7.429
9.381,38.599
7.634,29.170
5.069,-1.743
4.795,-19.033
8.686,-4.747
13.627,22.847
16.493,22.386
10.714,-13.788
4.491,-37.828
8.602,1.788
10.858,30.861
3.271,0.172
-2.365,-23.647
-5.929,-16.074
-6.424,-4.331
-1.801,8.558
2.900,20.111
1.459,12.338
-2.669,2.179
-2.369,-7.983
-3.370,-21.522
-4.343,-14.485
0.928,15.126
-0.046,31.043
-7.072,15.149
-9.546,-5.522
-5.609,-12.796
-2.334,-0.312
-3.430,20.810
-6.412,19.809
-10.348,-13.357
-11.101,-32.275
-6.432,3.320
0.156,49.116
2.446,40.583
2.227,6.224
3.307,-18.766
6.066,-36.371
7.029,-26.023
6.450,9.439
4.784,14.060
1.365,-7.150
-1.469,-9.113
1.967,17.829
8.586,34.205
8.921,9.549
4.088,-17.102
3.904,-4.322
6.262,18.741
5.375,23.057
0.609,17.833
-0.791,-0.259
1.258,-13.591
7.338,3.635
11.774,13.175
3.526,-10.246
-7.502,-24.028
-8.113,-10.951
0.076,2.214
5.974,5.313
3.315,-1.355
-2.895,-13.920
-4.782,-7.968
-2.331,4.032
0.068,2.239
3.653,-0.180
7.406,20.077
3.881,26.482
-5.710,-6.520
-6.633,-32.341
1.359,-19.556
7.514,14.557
10.569,32.973
4.330,10.662
-7.181,-25.344
-9.572,-24.082
-3.267,-1.207
2.401,5.200
-0.253,-0.605
-6.056,-5.350
-7.895,-13.573
-5.978,-4.801
-2.868,22.609
-1.914,28.934
-1.652,-0.295
0.218,-25.988
3.333,-7.051
6.724,21.999
9.855,23.499
9.682,-2.998
2.190,-35.543
-1.696,-25.500
5.683,22.870
11.362,38.511
9.532,6.994
7.886,-23.348
12.259,-8.177
15.669,15.224
10.439,-0.443
6.037,-19.592
9.766,-3.199
10.198,11.417
7.785,7.764
6.598,3.747
2.426,-1.478
-0.995,-7.650
0.361,-4.582
2.685,6.396
3.148,13.106
4.771,14.006
4.873,11.800
0.829,5.137
0.016,-4.489
0.572,-17.603
-5.120,-11.639
-10.394,1.580
-7.923,1.632
-6.375,-10.591
-8.648,-24.980
-6.610,-14.349
-2.497,19.063
-4.886,29.707
-10.740,5.722
-11.542,-28.201
-8.348,-41.083
-8.553,-17.929
-13.317,-0.097
-16.183,-9.566
-15.159,-21.848
-13.914,-14.948
-10.474,5.529
-4.211,33.322
-2.929,26.408
-6.409,-10.429
-8.612,-22.679
-8.238,-6.459
-3.069,16.037
0.436,12.830
1.583,-14.077
-0.645,-23.687
-4.387,-8.280
-1.379,16.877
4.025,23.055
1.522,0.588
-4.724,-12.022
-0.978,4.338
7.987,14.997
4.376,-1.553
-6.396,-20.325
-6.235,-8.468
3.260,23.339
7.626,38.838
-1.552,15.377
-8.907,-5.497
-9.684,-6.504
-11.460,-10.466
-13.453,-15.542
-14.413,-14.947
-14.738,-17.582
-12.831,-16.344
-8.614,-1.006
-3.267,12.406
-1.836,7.766
-3.430,3.679
-5.504,6.793
-8.231,4.303
-6.588,1.133
-0.470,-1.297
2.439,8.103
3.950,22.925
5.631,30.245
1.627,16.839
-5.356,-19.242
-7.850,-27.247
-4.012,5.868
3.161,23.499
8.470,-5.119
8.756,-21.022
5.522,-0.475
1.338,15.389
-0.882,4.175
-4.299,-22.250
-9.372,-38.766
-8.764,-25.211
-0.402,6.950
7.256,18.771
5.432,-1.014
-3.440,-17.061
-4.563,-0.348
2.127,31.717
4.832,35.287
-1.294,12.023
-4.158,-16.070
2.529,-25.513
9.371,-2.206
9.547,22.193
4.322,15.633
3.075,0.675
4.494,-6.591
4.227,-4.654
4.356,-0.654
0.671,-29.828
-2.058,-49.362
3.279,-14.824
10.307,18.782
11.920,12.751
9.041,11.249
4.588,14.146
1.061,1.050
1.689,-10.000
4.059,-7.670
3.177,0.457
4.698,14.529
5.406,15.650
0.343,3.171
-0.847,-5.661
4.481,-9.114
8.940,-0.921
8.325,11.497
9.115,12.429
9.949,10.264
3.519,8.784
-1.775,-3.392
-0.805,2.255
4.224,20.667
5.782,9.587
-0.570,-17.982
-2.163,-10.990
-0.835,4.583
-5.968,-14.209
-11.201,-33.137
-8.834,-10.498
0.535,20.771
11.201,22.066
14.368,10.428
6.673,4.054
-4.110,-8.773
-6.616,-8.924
0.219,9.842
5.579,16.407
5.368,0.334
3.393,-14.077
3.362,-6.081
3.260,12.769
2.646,15.938
4.767,2.231
7.310,-9.341
5.290,-2.599
-0.163,9.813
-3.780,7.565
-4.282,-8.302
-2.173,-14.614
4.671,4.456
9.632,32.033
4.295,40.203
-6.446,9.028
-9.146,-3.800
-3.986,-4.622
-4.078,-28.956
-8.286,-37.190
-6.498,-13.802
0.406,6.775
3.181,11.501
-0.148,10.446
0.114,18.595
2.933,18.160
0.197,-7.800
-1.880,-18.363
3.871,7.744
6.272,28.027
-0.872,16.926
-4.095,0.139
1.634,-3.572
3.462,-2.233
-5.388,-6.251
-11.846,-4.718
-8.457,-1.583
-6.037,-5.664
-6.761,-9.074
-4.374,-4.123
-0.271,7.632
1.184,11.948
-0.279,1.950
1.353,-5.488
4.945,-1.047
2.589,2.618
-0.601,6.233
-0.370,12.585
1.745,19.215
6.388,18.359
11.505,4.734
8.870,6.795
-0.073,16.087
-7.444,1.629
-8.974,-34.985
-2.477,-37.440
6.002,-2.783
4.009,14.712
-3.997,-0.649
-4.921,-26.643
0.865,-32.653
6.358,-15.309
6.153,2.628
3.103,13.764
-1.263,13.324
-7.433,1.167
-8.278,0.864
-2.298,8.905
2.213,9.157
1.097,6.341
-0.157,9.654
0.429,5.823
1.633,-1.862
4.099,7.368
3.300,1.173
-0.529,-25.257
-1.131,-37.906
5.762,-1.742
10.262,33.895
3.339,25.597
-7.282,-2.149
-9.303,-13.395
-7.847,1.547
-11.735,2.213
-14.203,-8.568
-9.584,-1.974
-3.531,12.857
-7.276,15.358
-18.609,-3.238
-20.451,-11.998
-13.234,-5.646
-11.327,-13.801
-16.067,-32.524
-15.693,-24.710
-6.641,3.875
-4.313,24.515
-12.113,15.248
-18.235,-15.263
-15.723,-20.659
-7.510,9.116
-3.954,18.792
-9.248,2.245
-10.800,4.859
-4.492,14.871
0.477,12.652
0.951,8.913
2.975,24.275
6.828,39.964
4.534,12.456
-2.917,-39.643
-5.895,-51.916
-0.226,-16.807
4.822,12.039
4.243,5.849
1.306,-11.021
-1.202,-10.068
-3.876,2.171
-6.777,2.601
-2.271,-3.089
4.944,1.209
5.560,8.228
1.909,8.031
0.727,2.578
4.951,2.401
8.267,17.227
2.211,22.257
-1.178,1.883
0.060,-19.850
2.677,-25.957
4.459,-17.437
1.771,-7.271
-4.985,-3.828
-6.749,-1.025
-2.056,-4.580
-1.001,-7.378
-3.023,-8.407
-0.298,0.685
1.910,19.129
-1.525,23.270
-4.736,10.665
0.874,3.963
13.659,14.407
16.634,20.254
7.179,5.323
-1.546,-10.305
-4.612,-8.782
0.655,-5.527
3.235,-8.085
0.677,-6.876
1.740,-4.320
5.978,6.011
6.408,14.107
4.436,0.925
4.162,-11.098
4.208,-10.327
2.494,-11.156
4.300,-4.509
9.813,4.207
8.698,4.135
0.880,-0.152
-3.255,1.192
-1.628,9.063
4.871,18.744
7.015,16.419
6.308,4.512
7.610,-0.882
6.238,-6.912
2.085,-8.729
0.520,3.800
1.618,6.438
3.771,-4.421
