Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 26/09/2017		Session Time: 4:35:18 PM
Start Time: 00:00:00.000		End Time: 00:01:02.563

EEG-C,EEG-D
256,256
6.316,54.882
9.122,10.970
10.193,32.536
5.418,87.582
-3.161,3.803
-6.005,-36.540
-8.128,-3.817
-7.591,24.393
-3.704,6.690
-0.335,-22.812
1.620,-6.135
2.382,34.426
-0.922,19.158
-3.967,-33.645
-3.386,-40.990
3.076,1.525
12.120,25.197
11.503,-2.431
4.025,-21.922
7.158,5.654
10.287,12.165
2.791,-20.156
-0.629,-19.115
5.591,19.367
9.171,34.193
8.085,16.118
3.093,-22.575
-0.427,-40.266
0.660,-13.688
3.003,27.175
1.464,31.852
0.100,-1.706
2.665,-16.218
4.374,2.640
2.804,10.677
-1.745,-2.711
-5.297,-17.570
-2.813,-16.306
2.365,-3.346
6.588,17.633
3.200,17.883
1.822,1.574
9.510,3.984
14.762,10.824
10.885,-6.144
6.507,-16.823
6.065,10.914
1.323,19.780
-6.644,-10.134
-4.840,-27.899
4.952,-14.321
9.160,8.066
7.598,20.219
8.122,23.637
4.876,11.616
-0.371,-11.828
-2.328,-22.062
1.344,-2.257
6.283,17.706
7.521,12.290
8.635,-0.429
13.333,6.520
18.469,28.686
12.149,26.473
-0.631,-0.725
-1.258,-17.427
7.072,-4.439
8.297,30.773
4.045,24.706
3.260,-16.348
-0.099,-31.581
-7.349,-19.434
-9.000,-3.976
-2.807,-3.244
5.829,-8.959
8.259,-2.357
3.453,13.524
-2.095,17.156
-3.916,1.519
-0.430,-8.654
2.224,4.169
1.138,18.208
1.847,13.775
3.333,-8.911
3.137,-15.181
3.149,13.446
1.049,28.750
-4.474,0.505
-7.610,-15.316
-6.876,2.414
-8.599,13.153
-7.792,10.837
-3.785,-3.951
-7.798,-28.711
-17.003,-31.908
-18.997,-4.340
-10.443,21.254
-1.586,13.296
-1.337,-11.858
-5.009,-13.667
-3.497,0.863
1.402,-0.395
-0.359,-18.542
-4.886,-20.886
0.440,1.132
10.357,19.321
12.325,14.122
8.191,2.761
7.854,-0.971
10.102,12.543
8.788,27.775
2.860,11.463
-2.752,-15.763
-2.592,-18.716
1.904,4.345
4.707,18.042
1.332,8.348
-2.679,-3.794
-0.580,-1.294
-3.203,-2.771
-10.657,-6.431
-9.634,-4.425
-3.722,1.420
-0.463,3.117
-0.986,2.360
-4.341,-2.958
-6.506,-23.127
-5.499,-33.443
-6.720,-15.409
-2.839,12.108
3.142,20.076
5.103,6.761
1.300,-4.131
-7.931,-3.202
-6.705,6.011
2.339,-1.253
0.378,-22.634
-7.083,-22.992
-6.207,3.407
-3.706,25.109
-6.639,8.501
-4.001,-14.848
8.873,-4.789
16.579,12.705
13.124,10.124
5.932,7.784
-0.475,8.539
-2.521,10.120
-1.198,4.588
3.810,-5.969
7.938,-11.619
5.944,-13.602
0.184,-9.218
-0.645,11.197
-0.721,25.090
-4.841,10.326
-9.295,-5.908
-8.521,-1.022
-10.224,-2.759
-10.468,0.885
-8.002,-2.524
-9.185,-21.009
-10.924,-25.846
-10.612,-14.345
-3.883,0.128
3.750,2.031
6.750,3.768
8.603,12.547
7.546,1.616
3.313,-15.922
2.298,-1.726
7.869,23.901
10.783,19.764
6.153,4.341
2.247,-2.030
1.414,-4.495
-2.295,-5.213
-3.835,5.790
0.688,21.544
1.818,5.358
-1.600,-18.154
-5.793,-13.814
-10.083,-1.411
-7.014,5.696
-1.161,0.389
-4.435,-12.770
-10.118,-10.819
-9.690,4.878
-6.106,17.945
-2.504,14.155
-0.589,-1.253
-0.936,-11.614
-1.283,-6.795
-5.165,-7.055
-12.126,-16.636
-15.885,-14.188
-11.944,-8.118
-3.820,-7.195
1.931,3.174
4.104,11.183
2.658,-7.632
-2.368,-27.834
-4.577,-25.263
-1.071,-3.834
7.710,27.257
12.223,35.077
6.351,14.126
1.058,3.744
-0.647,5.458
-4.754,-3.665
-8.531,-20.848
-9.124,-20.207
-8.058,-0.028
-7.039,10.520
-9.061,1.586
-7.432,-0.175
-3.028,16.448
-2.614,17.748
-3.412,-5.109
-3.990,-12.482
-12.699,-6.041
-19.680,-6.594
-9.835,-3.998
3.407,3.246
0.551,-0.988
-6.428,-6.255
-5.415,12.601
-1.749,32.311
-2.849,20.131
-5.376,0.101
1.679,-2.207
4.970,-10.900
-0.210,-13.179
1.178,-3.230
3.363,-6.207
-0.827,-16.717
-1.638,1.713
3.283,22.588
5.459,7.497
2.986,-16.778
4.177,-1.677
8.885,36.811
7.792,36.104
4.041,9.448
1.331,-5.770
-0.973,-16.142
-0.351,-3.124
2.654,14.559
3.055,8.628
-0.191,-10.452
3.310,-5.266
9.196,16.104
6.648,11.520
2.589,-8.685
4.283,-10.236
2.264,-4.642
-4.047,-8.611
-3.740,-7.622
1.060,-0.311
0.255,2.547
-2.118,-1.747
-0.201,-4.671
8.044,7.646
13.097,19.202
5.228,16.138
-1.543,6.009
2.185,4.675
4.478,-3.939
0.081,-13.909
-6.627,-4.144
-9.721,13.585
-4.000,6.996
2.873,-5.597
1.721,1.371
-0.379,13.825
2.411,20.029
2.015,7.152
-0.885,-17.198
-0.527,-24.014
-0.806,-12.487
-3.265,1.855
0.955,18.408
4.767,16.977
0.602,-4.159
-1.323,-17.105
-0.237,-15.747
-1.263,-11.332
0.387,-10.703
4.007,-10.904
4.730,-7.807
4.772,4.935
4.874,17.608
1.679,9.988
-4.107,-11.744
-2.480,-15.245
4.315,1.366
10.662,21.893
8.232,17.102
-5.205,-14.132
-11.504,-20.153
-5.207,-1.998
-2.265,-3.332
-3.097,-17.429
-2.598,-13.481
-2.481,-2.897
-0.696,2.221
1.571,3.215
1.654,0.845
-1.697,3.278
-3.178,-1.760
-2.456,-16.612
-4.103,-24.462
-4.181,-15.476
-1.805,-4.604
2.304,5.661
3.911,13.920
1.966,8.169
-1.356,-8.813
-6.887,-8.402
-7.431,12.203
-0.247,25.188
0.283,2.296
-7.867,-22.013
-14.395,-16.092
-15.555,-3.139
-12.928,-0.857
-7.599,-2.048
-3.137,2.159
-3.571,12.388
-4.907,16.574
-4.451,5.688
-1.667,-1.681
2.615,-12.713
7.195,-23.423
8.026,-23.149
4.705,-19.105
6.344,-7.470
11.498,15.191
9.801,20.620
3.854,5.053
3.092,-10.809
4.364,-14.455
1.978,-11.145
-0.927,-0.802
5.003,14.224
14.417,12.894
11.083,-6.770
5.151,-7.213
9.406,13.735
15.248,25.844
15.034,24.464
7.742,6.727
1.929,-16.654
2.750,-17.842
7.601,-5.491
8.645,-3.084
4.072,4.228
1.294,13.056
-0.093,-2.870
-4.992,-22.938
-4.572,-11.752
4.305,24.732
1.255,29.297
-5.916,3.872
0.352,-7.581
8.176,-1.459
3.608,-6.049
-0.582,-14.097
0.384,-0.484
-0.784,21.039
-2.152,18.908
1.801,-5.574
3.011,-4.790
-1.891,12.632
-0.987,4.571
4.883,-5.261
0.121,0.260
-7.018,7.476
-3.474,7.271
4.328,9.996
6.167,13.762
2.029,4.242
-1.252,-14.787
0.439,-18.098
3.158,0.387
2.508,16.720
-0.182,6.358
2.203,-1.464
8.436,14.888
9.313,24.277
4.019,13.158
3.005,0.903
6.357,-2.426
4.334,-8.329
-2.873,-17.928
-4.775,-13.159
0.936,6.164
5.251,18.672
3.872,14.233
2.890,10.021
0.368,7.242
-6.549,-4.814
-10.012,-17.248
-3.360,0.364
4.276,17.484
3.953,-0.758
2.626,-17.890
3.096,-6.489
4.333,19.844
6.368,23.138
5.464,1.165
-0.756,-7.058
-5.653,7.416
-1.956,10.736
3.432,-1.749
8.426,-10.464
8.741,-5.238
3.847,5.632
-2.940,-8.211
-3.648,-22.347
0.001,-2.396
2.935,19.993
5.611,15.884
2.425,-3.486
0.142,-4.863
2.077,14.500
4.029,22.557
6.522,12.624
7.445,10.433
4.370,6.755
0.888,-4.111
-0.491,-11.101
3.608,6.599
9.252,24.779
7.946,-2.254
2.504,-20.227
-6.979,-11.057
-12.391,-3.119
-10.390,-1.944
-5.402,5.357
-4.414,-0.663
-4.166,-19.981
-2.751,-20.274
-1.367,-3.737
2.298,3.041
5.056,2.418
0.071,7.682
-10.027,4.875
-8.986,10.467
2.739,23.940
3.991,16.443
-4.235,-4.598
-6.306,-19.117
-0.429,-21.901
-2.965,-20.842
-13.674,-11.172
-12.816,10.245
-0.511,15.984
8.160,10.345
6.151,7.772
-2.867,9.997
-9.603,8.220
-7.731,-10.037
-3.506,-21.296
-0.776,-10.728
1.492,4.054
6.255,7.609
10.349,9.414
9.448,13.839
3.472,6.845
0.150,7.206
1.600,13.731
0.171,5.507
-1.372,1.865
-2.206,10.550
-3.549,3.765
2.390,-2.252
7.413,1.714
6.839,7.662
4.375,9.895
2.131,12.629
3.853,22.467
6.036,17.794
5.494,6.664
1.795,-9.443
-2.034,-24.131
0.746,-14.437
6.058,8.424
8.548,20.171
7.440,12.246
3.642,-4.521
3.128,-4.581
3.104,9.574
0.881,12.894
-0.610,2.166
-1.405,-12.740
-0.656,-10.881
-0.996,-3.844
-3.616,10.040
-9.247,1.919
-16.349,-21.010
-15.587,-22.288
-7.996,-16.444
-3.713,-16.866
-4.130,-10.525
-1.213,7.103
1.235,7.002
-1.512,6.050
-4.066,11.290
-3.712,3.209
-1.981,2.123
1.371,14.568
5.326,13.003
3.094,-8.581
0.362,-18.033
2.819,1.170
2.508,7.946
-2.378,-8.626
-3.374,-8.946
-4.896,4.389
-7.685,16.134
-6.465,7.318
-3.294,-17.806
-6.522,-22.085
-8.700,-5.904
-6.170,-3.957
-4.195,-9.402
-4.127,1.807
-6.853,8.415
-5.679,-0.104
-2.629,-4.085
-3.239,12.608
-1.750,32.229
1.930,24.953
3.187,-2.182
4.204,-0.834
4.368,11.512
3.088,-0.773
1.791,-12.105
3.388,-4.152
5.757,9.429
4.783,10.207
4.290,-2.451
4.879,-18.622
2.647,-19.099
1.395,1.442
5.028,15.260
7.569,6.896
4.431,0.825
1.596,2.646
4.036,-3.300
8.511,-11.019
6.607,-13.498
-1.814,-2.666
-4.556,12.970
0.919,15.775
0.947,2.776
-2.799,-11.678
-4.537,-13.126
-6.006,-10.226
-5.844,-5.485
-2.448,-5.304
-0.204,-15.285
1.112,-16.585
-1.142,-3.818
-4.368,4.811
-4.076,2.038
-0.642,5.621
0.603,11.584
-0.400,12.768
-1.156,9.874
-4.219,-4.495
-9.031,-13.327
-6.683,13.914
-0.925,28.291
-0.674,-0.180
-10.085,-30.070
-14.704,-16.609
-8.850,13.123
-4.574,2.455
-0.539,-20.708
6.003,-10.766
7.217,6.861
2.229,1.017
1.250,-7.850
6.149,-0.927
8.677,1.840
3.714,-7.456
-0.279,-3.891
-0.167,7.098
-0.121,11.903
0.049,10.314
4.275,1.178
10.720,-8.546
11.246,-10.937
7.907,3.174
9.093,27.292
8.132,26.361
3.687,15.011
1.103,8.497
0.751,-11.302
-1.140,-23.818
0.665,-6.141
2.109,0.936
0.007,-0.495
-2.153,1.492
-3.930,1.330
-5.666,-11.048
-3.332,-17.079
4.524,-6.402
8.344,0.524
5.400,-0.358
1.872,-3.184
0.285,-0.743
0.407,-1.339
-0.724,-12.038
-1.325,-17.626
-0.502,-3.933
2.525,19.001
1.583,7.713
-1.576,-22.900
0.807,-22.887
4.384,-6.010
3.536,-2.078
1.024,-7.071
1.461,-3.242
5.901,11.918
8.221,12.033
3.716,-8.374
1.570,-10.650
4.144,3.815
2.221,5.570
-2.002,-1.767
-2.272,-6.996
-1.071,-11.351
-1.317,-4.700
3.253,13.052
8.868,19.631
6.954,16.017
1.000,7.409
-2.359,-4.190
-1.356,-8.627
-0.857,-9.245
-2.367,-9.682
