Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 26/09/2017		Session Time: 4:20:07 PM
Start Time: 00:00:00.000		End Time: 00:01:02.188

EEG-C,EEG-D
256,256
3.060,40.503
15.686,57.864
5.976,-15.559
1.878,24.834
0.995,28.688
-2.402,5.604
-1.309,-0.409
4.768,6.666
8.087,-5.902
3.146,-23.051
-4.274,-15.449
-6.763,7.444
-3.487,19.497
0.172,20.553
-4.017,4.997
-10.270,-11.540
-12.391,-23.363
-14.135,-32.682
-13.433,-18.858
-7.330,2.900
-3.335,5.606
-6.985,-10.945
-14.530,-20.827
-14.293,-5.402
-8.231,4.952
-4.747,1.982
-4.062,0.290
-1.257,8.004
-1.085,15.734
-2.846,6.689
-2.057,-12.565
0.104,-21.282
5.078,-1.839
4.262,8.881
-4.053,-13.189
-7.727,-23.598
-3.797,-11.740
1.698,3.611
-0.450,3.702
-6.150,-14.161
-5.113,-22.515
-1.239,-16.826
-0.592,4.193
-3.190,24.180
-3.388,25.674
-1.298,5.149
0.055,-11.301
-1.632,-9.822
-3.990,-4.545
-0.446,5.964
4.343,13.119
-0.142,2.986
-5.714,-6.636
-0.039,-5.418
8.467,10.089
6.004,26.199
-2.495,15.809
-5.529,3.664
-4.849,-6.018
-3.393,-16.818
-2.120,-4.160
-0.539,20.209
1.274,16.528
4.105,-13.348
6.191,-23.713
6.892,-12.845
6.781,-1.364
4.594,10.914
1.208,16.853
1.158,12.337
5.568,13.367
9.178,6.903
7.576,-9.713
4.849,-13.007
5.961,-3.393
7.278,1.286
4.412,-8.039
3.748,-2.248
8.466,11.914
6.944,-2.046
0.722,-21.649
1.547,-9.950
4.386,11.329
4.398,12.651
8.796,17.009
11.332,22.868
10.131,10.220
8.266,-16.710
5.729,-24.956
5.142,-6.838
2.404,15.500
-4.309,17.778
-5.513,5.064
-2.648,-5.436
-4.537,-5.364
-5.677,12.825
0.265,28.388
2.364,4.395
-1.223,-22.858
-3.754,-12.716
-5.133,-2.923
-3.985,-10.289
-1.665,-6.048
0.340,11.453
0.545,15.601
-2.637,-5.558
-2.303,-21.657
5.812,-6.028
9.338,9.440
5.998,2.616
3.875,-0.818
2.863,-1.798
1.512,-1.074
0.936,8.298
5.396,13.616
7.206,0.437
0.817,-10.024
-2.796,8.979
0.382,29.162
1.182,16.347
-4.871,-19.913
-9.033,-36.137
-4.190,-12.045
0.518,9.405
1.253,-2.133
5.214,-11.307
10.605,5.211
7.064,7.677
-2.294,-2.884
-5.142,7.708
-1.884,17.453
-0.529,0.121
-1.255,-18.242
2.560,-3.611
3.160,13.188
-2.023,3.105
-5.153,-10.127
-4.721,-3.251
-4.382,-4.759
-2.980,-5.239
-0.226,3.479
1.726,1.703
3.469,0.929
4.687,-0.182
3.753,-0.572
-1.213,4.233
-6.574,2.863
-9.362,-8.604
-8.130,-12.370
-3.018,4.663
0.803,20.459
2.919,16.548
4.793,9.578
1.654,-6.069
-2.959,-26.336
0.203,-18.225
8.045,11.596
10.063,28.183
9.176,27.173
6.514,7.524
-1.204,-20.141
-4.560,-18.067
1.346,9.430
2.521,10.289
-4.342,-13.697
-9.316,-14.515
-8.443,9.615
-7.421,19.387
-12.247,5.626
-14.391,-11.676
-6.926,-7.548
-0.814,-0.415
-2.757,-8.817
-9.800,-18.217
-14.721,-12.977
-11.031,-8.649
-7.256,-13.463
-7.048,-11.181
-5.876,2.263
-1.174,12.281
-0.542,0.031
-3.517,-16.053
-3.508,-11.209
1.727,-1.251
8.147,10.934
11.039,27.609
7.067,20.329
1.424,2.615
5.375,6.495
8.836,-4.948
2.245,-34.425
0.710,-20.697
7.090,21.465
9.002,37.149
4.521,24.356
3.694,6.539
2.236,-0.541
0.098,-6.793
4.788,-19.664
9.121,-18.159
7.983,0.461
7.842,17.649
13.110,15.720
15.817,-2.721
9.995,-4.406
4.899,19.542
5.277,31.296
3.785,18.766
-1.337,-1.652
-4.457,-5.410
-3.946,2.128
-2.295,-7.092
1.714,-10.657
1.598,9.163
-2.410,19.337
-3.623,9.209
-3.271,3.378
-7.027,3.308
-12.650,-6.662
-12.466,-13.218
-6.446,-6.818
-1.329,0.013
-2.821,-6.209
-6.246,-17.457
-7.215,-21.470
-1.081,-6.630
3.421,13.619
-4.129,10.677
-12.540,-0.243
-12.278,3.387
-10.275,6.423
-10.267,-0.359
-10.466,2.152
-8.457,10.215
-3.200,2.845
-0.054,-4.982
1.231,-5.264
1.876,-5.818
1.655,-9.301
-0.311,-7.044
0.080,-2.304
3.530,1.391
5.501,4.232
3.818,-6.070
4.703,-3.821
8.042,19.140
7.237,15.556
5.456,-1.879
5.460,-9.835
2.975,-5.855
-4.462,-1.048
-6.151,0.050
-0.292,1.904
3.103,-0.860
0.790,-11.383
-0.350,-19.209
2.914,-9.127
6.285,7.109
3.358,0.833
-0.040,-10.560
1.642,5.890
0.185,12.662
-3.302,-9.200
-2.445,-21.726
2.915,-8.358
4.300,2.272
0.578,0.056
1.283,-3.036
4.658,1.728
6.749,10.067
8.383,6.945
5.932,-8.768
-1.275,-22.337
-2.946,-18.880
-0.761,-3.386
-0.951,2.512
-1.344,0.802
-0.003,1.960
3.242,11.332
8.711,22.665
11.174,13.997
5.397,-6.939
-4.133,-15.164
-2.970,2.357
6.343,20.196
11.151,17.597
4.947,-3.177
-2.276,-13.739
-1.549,0.715
2.009,16.099
0.731,6.238
3.179,-5.084
10.068,8.800
12.154,25.085
10.796,18.618
7.528,6.786
4.510,0.193
0.213,-3.186
-8.517,-6.818
-14.706,-15.554
-13.303,-9.496
-5.974,7.918
0.117,9.032
-0.389,1.906
-3.741,-6.262
-1.756,2.765
1.457,13.510
1.448,-0.555
1.063,-12.551
0.283,-3.083
-2.389,5.012
-3.994,-4.085
1.514,-7.512
3.503,-5.554
-7.488,-15.112
-14.733,-16.087
-8.180,3.025
0.320,14.607
0.780,6.982
-2.116,-1.825
-4.462,-6.895
-10.429,-11.001
-12.881,-6.446
-4.874,14.862
3.888,20.503
5.794,6.469
3.128,4.401
1.604,15.660
5.206,19.249
5.981,6.504
4.290,-0.612
4.865,3.282
3.185,-8.131
2.861,-13.162
8.183,1.461
12.577,14.406
10.020,10.163
7.442,1.151
8.694,1.311
4.591,-9.208
1.471,-13.142
5.998,-9.296
7.233,-9.628
4.490,-2.929
2.513,-3.426
-0.763,-18.694
-4.328,-30.949
-8.694,-24.944
-12.210,-0.193
-9.450,22.629
-3.675,11.066
-3.884,-10.561
-6.651,-9.505
-7.068,-1.603
-5.708,-0.585
-0.025,-0.561
6.329,5.561
7.426,15.004
2.272,3.227
0.004,-2.771
3.377,11.750
2.123,12.808
-1.074,3.062
0.008,7.901
1.133,-3.452
-1.777,-23.359
-4.164,-15.188
-2.046,-0.093
-3.161,-5.954
-6.926,-3.958
-6.334,10.438
-3.928,15.023
-5.660,8.136
-7.083,-2.929
-3.801,-4.852
0.150,3.129
0.512,6.389
1.210,6.844
3.642,6.336
4.949,4.465
3.193,0.138
-3.068,-3.817
-3.994,12.754
2.211,18.745
2.944,1.542
-1.745,-11.810
-2.506,-16.077
1.946,-15.177
3.086,-10.012
1.681,3.530
1.967,22.924
1.352,20.443
0.329,1.223
1.586,-6.133
2.812,0.873
-0.280,-1.319
-0.244,-9.434
3.386,-5.627
5.027,9.206
5.969,7.101
7.241,-7.147
4.384,-5.390
2.995,12.361
3.571,10.489
3.936,-11.720
6.440,-10.381
7.056,8.842
3.587,7.123
2.296,-1.415
5.594,-1.815
10.486,6.891
8.548,7.954
4.526,3.903
4.749,9.037
3.797,15.822
-0.383,14.827
0.247,6.254
3.254,-4.863
2.986,-6.005
-1.601,-5.748
-4.810,-3.286
