Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 25/09/2017		Session Time: 9:06:45 PM
Start Time: 00:00:00.000		End Time: 00:01:01.250

EEG-C,EEG-D
256,256
4.317,213.108
-0.397,236.284
-1.069,28.994
1.663,64.655
-3.711,41.861
-11.031,-119.609
-12.331,-168.793
-8.357,15.870
-4.049,190.220
-5.991,114.830
-8.384,-78.869
-3.933,-121.299
5.608,-4.659
10.509,77.787
3.929,48.216
-2.621,13.291
0.733,26.150
-3.189,6.373
-11.084,-64.457
-8.407,-70.040
-2.981,33.353
-2.378,115.663
-4.324,47.686
-5.935,-99.625
-8.338,-121.450
-7.997,22.670
-2.987,133.719
6.413,73.661
10.190,-68.639
6.393,-108.188
1.234,-6.389
-2.182,90.079
-5.282,59.844
-8.613,-34.255
-10.676,-62.077
-6.678,-11.675
-2.732,29.318
-3.228,23.123
-3.862,10.578
-6.706,14.904
-7.933,5.812
-6.236,-30.222
-1.650,-31.478
1.399,25.354
2.136,70.917
0.068,31.635
-1.362,-57.723
0.210,-79.742
-1.515,5.822
-2.441,93.616
3.978,59.049
11.499,-60.504
10.440,-100.539
2.560,-3.988
-2.994,103.503
0.563,80.576
2.191,-42.658
-3.921,-101.033
-4.583,-19.656
3.133,89.792
8.047,88.984
9.074,-4.527
4.662,-64.512
-4.423,-28.097
-12.103,34.607
-9.496,43.247
-3.305,3.094
-1.086,-21.388
0.825,-4.768
1.663,10.983
-0.685,6.520
-3.304,7.752
-1.540,20.183
6.170,18.002
5.909,-12.193
-6.807,-35.718
-15.367,-9.534
-11.512,41.895
-2.440,41.264
4.926,-24.940
5.673,-66.843
2.036,-17.048
-0.989,66.134
0.556,66.317
2.511,-25.245
4.341,-82.484
4.399,-27.321
-1.085,65.680
-8.361,75.154
-9.696,-16.960
-6.286,-97.697
-1.596,-56.655
-1.599,51.419
-5.994,82.614
-6.030,1.760
-3.761,-81.848
-4.658,-58.246
-5.379,32.445
-2.263,70.159
2.706,11.951
3.686,-54.097
0.985,-46.837
-2.853,13.977
-5.743,41.186
-0.358,8.930
7.291,-25.899
7.050,-25.906
3.937,-5.241
-0.682,5.727
-6.438,4.601
-7.280,5.733
1.393,6.188
10.023,-1.269
12.341,-10.152
7.175,-7.625
2.600,13.034
5.791,28.187
6.045,-0.655
6.771,-37.164
7.043,-26.496
-3.459,22.841
-10.662,52.879
-4.223,14.494
-2.197,-53.393
-5.236,-59.687
-8.789,6.826
-8.970,51.463
-2.386,-2.892
6.393,-90.297
15.810,-92.304
19.655,-2.320
20.098,69.008
19.701,40.500
10.646,-40.578
0.871,-59.232
-0.862,9.919
-0.325,71.885
-2.488,39.074
-2.472,-44.872
2.360,-68.557
4.514,-10.989
3.535,55.576
0.828,45.986
-1.784,-25.916
-1.660,-61.568
-0.770,-24.396
-0.671,27.634
1.385,30.641
3.215,-10.579
-0.374,-39.649
-3.703,-19.849
-2.983,16.326
-3.257,24.246
-3.961,1.971
-1.285,-16.936
3.561,-9.917
1.763,-1.178
-10.134,-6.537
-18.236,-9.068
-12.371,-4.275
-3.223,-8.924
1.250,-23.761
1.587,-29.497
-0.082,-10.156
-2.120,15.381
-2.932,13.574
-4.632,-21.458
-4.911,-46.544
-3.292,-17.659
-5.450,32.131
-4.161,38.502
3.349,-7.024
6.095,-50.150
4.248,-31.749
2.620,28.798
-2.278,45.161
-12.263,-13.990
-10.883,-68.231
-1.510,-40.857
1.613,29.855
-2.039,46.144
-2.999,-12.126
-1.842,-66.857
-1.851,-45.969
-1.767,26.706
-2.809,63.290
-5.417,18.548
-4.804,-48.175
1.766,-43.765
7.206,25.839
7.322,64.757
5.831,29.026
5.578,-30.808
4.295,-33.780
0.641,21.852
2.178,61.453
8.823,40.617
12.419,-8.515
9.243,-24.300
5.535,8.991
-0.901,40.857
-7.399,33.193
-4.570,1.898
-1.234,-15.156
-3.954,4.522
-5.422,28.253
2.993,29.268
9.973,20.143
4.569,21.671
-1.836,26.485
-0.239,21.951
3.600,21.743
6.808,35.284
6.634,44.474
2.627,37.323
1.786,25.297
4.224,27.479
0.929,53.409
-8.099,64.413
-7.967,44.667
1.108,18.313
2.755,16.192
-5.606,45.795
-10.174,74.778
-5.904,64.496
-1.598,22.883
-3.753,3.901
-7.977,40.023
-7.206,87.654
-1.591,84.359
5.008,33.966
5.432,5.695
3.922,37.050
8.295,85.339
6.942,85.295
-2.068,31.570
-5.631,-10.071
-2.467,18.091
6.235,84.904
11.859,106.024
11.291,54.174
6.900,-8.799
-0.387,-8.411
-4.603,55.126
-7.944,95.726
-6.550,57.094
3.070,-5.198
9.082,-6.632
2.895,50.548
-3.457,85.540
-0.993,51.435
1.314,3.266
-1.991,6.178
-4.224,43.886
-2.411,56.958
2.016,39.181
4.711,22.815
5.629,25.143
7.720,38.692
9.676,42.532
12.042,32.537
8.180,29.213
-0.281,37.943
-4.315,39.878
-0.573,28.910
2.993,20.789
3.628,25.213
2.180,35.314
-1.086,35.954
-1.479,19.669
-0.525,10.169
-2.544,26.212
-3.167,44.528
2.691,36.441
4.482,15.567
-2.678,9.268
-8.086,23.947
-5.276,33.696
-1.283,15.971
-0.490,-8.004
-2.513,-5.374
-4.824,21.069
-5.834,29.517
-3.726,6.865
-0.672,-17.473
3.270,-11.404
4.188,18.119
2.516,36.781
-0.284,16.970
-0.500,-17.850
1.000,-18.018
-2.723,16.795
-9.384,36.932
-8.408,24.485
-3.465,-8.960
-2.800,-30.595
-2.993,-10.441
-2.520,27.022
0.955,33.784
1.042,-2.873
-3.907,-38.336
-5.643,-22.833
-2.523,21.797
0.558,37.130
2.900,5.291
4.108,-32.436
3.612,-21.470
1.690,18.879
-0.296,30.346
-1.968,-5.540
-2.066,-39.323
0.793,-26.216
0.507,11.936
0.019,28.502
0.876,7.791
-0.578,-23.754
-0.679,-29.135
1.323,-7.125
6.123,17.959
9.856,15.736
7.029,-15.648
-1.833,-33.166
-6.325,-16.174
-3.852,6.903
-4.131,8.437
-5.492,-15.822
-1.286,-38.467
-2.181,-39.865
-4.953,-26.425
-0.706,-15.565
8.717,-13.412
13.849,-20.070
15.755,-21.096
21.465,-10.753
19.342,1.313
6.552,11.513
0.203,16.871
6.070,5.779
10.510,-9.385
7.597,-9.405
-0.058,3.146
-4.296,13.490
-1.837,3.810
0.299,-20.658
-0.504,-25.790
-2.935,0.479
-5.725,25.920
-6.579,13.316
-6.178,-27.388
-5.771,-43.365
-1.233,-9.388
5.134,30.886
7.062,24.970
5.596,-17.944
1.728,-42.172
-2.781,-17.972
-4.254,26.028
-3.196,32.170
-2.377,-11.924
-7.962,-51.985
-13.775,-37.153
-7.255,9.126
1.097,24.803
-2.041,-13.330
-8.306,-59.145
-6.220,-51.171
-1.373,-4.958
-0.315,17.577
-1.210,-10.539
-0.073,-47.423
5.848,-44.977
7.474,-6.215
1.031,13.758
-1.509,-13.359
0.450,-52.056
1.251,-51.447
-0.870,-17.307
-5.682,0.476
-8.097,-15.162
-3.000,-32.299
4.541,-28.417
1.891,-17.621
-1.081,-10.096
2.653,-16.911
3.960,-30.402
4.091,-34.618
2.566,-28.719
2.095,-23.499
3.178,-18.970
-3.083,-20.179
-9.625,-25.265
-5.097,-30.500
2.119,-33.584
1.718,-28.183
-2.235,-17.802
-2.796,-11.916
-2.981,-17.227
-1.332,-30.504
1.826,-30.089
1.313,-12.396
-2.777,-1.071
-4.530,-14.371
-2.659,-37.999
-3.052,-40.889
-2.771,-14.233
0.463,12.441
