Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 25/09/2017		Session Time: 8:36:48 PM
Start Time: 00:00:00.000		End Time: 00:01:02.938

EEG-C,EEG-D
256,256
2.415,5.009
3.925,10.399
-6.781,2.697
-10.661,-4.917
-9.639,-12.148
-5.018,-17.553
-2.067,-23.913
-2.112,-24.143
-1.938,-14.119
0.462,-0.522
1.825,0.451
-0.387,-7.811
-0.338,-10.834
3.024,-7.807
3.267,-8.855
4.109,-6.728
4.556,-1.451
4.014,-3.758
3.352,-9.147
-2.529,-14.664
-3.993,-11.972
1.735,-3.575
6.024,5.583
3.216,8.525
-1.153,2.874
-0.124,-3.354
0.866,-2.880
0.413,8.169
-0.489,11.128
-3.421,0.508
-6.623,-7.129
-5.086,-6.656
-4.318,-7.477
-3.171,-7.948
-1.354,-3.368
1.193,-2.434
1.780,-4.126
-0.710,-1.654
-3.448,-2.319
-7.992,-7.835
-11.712,-11.312
-10.525,-17.098
-10.265,-23.377
-8.599,-26.224
0.172,-29.866
8.832,-33.310
10.843,-33.503
10.346,-28.298
12.372,-12.743
17.387,8.781
16.943,15.167
11.584,11.060
9.465,8.813
6.776,7.284
0.111,3.184
-5.152,8.046
-4.854,17.514
-6.384,7.327
-8.055,-3.160
-6.935,2.132
-5.300,7.230
-7.977,1.175
-13.335,-8.525
-13.090,-9.423
-3.953,-0.554
6.521,10.130
6.070,13.928
-5.629,8.327
-14.744,0.532
-18.251,-4.419
-17.620,-6.904
-12.972,-4.157
-6.163,0.661
-1.226,4.513
-1.959,1.715
-2.772,-0.706
-4.987,-0.840
-8.686,3.052
-8.058,1.870
-3.970,-5.056
-4.212,-8.821
-5.951,-4.741
-6.417,0.702
-4.653,3.777
-5.219,3.137
-9.635,-6.582
-8.857,-17.965
-4.992,-17.218
-1.502,-6.644
2.114,2.309
-1.096,-3.351
-8.573,-11.267
-9.188,-6.620
-5.675,-4.110
-3.078,-6.704
-3.269,-7.894
-5.514,-3.946
-3.122,2.826
2.514,5.906
2.131,3.484
-2.421,-4.474
-0.951,-9.484
2.603,-7.818
1.261,-2.289
-1.077,3.261
-4.513,2.791
-6.524,2.265
-2.986,3.900
0.297,2.554
1.012,-2.130
4.394,-0.297
7.533,4.965
3.850,3.930
-0.031,3.318
4.130,6.977
10.189,5.890
9.832,4.016
5.423,3.181
2.321,1.371
-1.401,-0.671
-6.004,-1.538
-4.352,4.313
-0.362,6.568
1.595,-0.218
1.443,-2.874
0.644,6.362
-0.490,11.900
1.646,10.056
3.760,2.549
2.686,-5.155
-1.798,-8.589
