Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 25/09/2017		Session Time: 9:11:20 PM
Start Time: 00:00:00.000		End Time: 00:01:01.250

EEG-C,EEG-D
256,256
-7.524,-4.918
-0.416,-5.437
4.641,9.515
5.502,30.363
-1.026,24.672
-1.036,20.265
-1.375,15.232
-4.477,6.970
-4.813,3.655
-3.957,4.493
-5.797,4.457
-8.605,5.387
-8.468,3.364
-6.323,-1.593
-3.114,0.613
-1.463,7.598
-0.712,11.041
-2.116,4.982
-2.936,3.181
-1.576,5.067
-2.953,3.122
-3.075,2.978
0.593,3.622
2.020,2.141
-4.155,-1.600
-9.423,-2.796
-5.695,-3.702
1.419,-3.420
2.598,-0.466
-1.125,-0.392
-0.558,-1.804
2.010,-3.333
5.362,6.318
3.363,14.266
-2.726,5.299
-2.910,-3.764
1.513,-4.192
0.439,-2.057
-3.772,0.258
-7.360,2.892
-7.071,-1.100
-2.003,-7.745
2.263,-3.672
1.404,2.673
0.456,2.962
2.330,3.333
1.717,2.815
-3.706,-1.404
-3.947,-8.264
2.304,-8.669
4.791,-5.756
-0.373,-5.935
-8.222,-4.583
-7.425,-3.482
-1.788,-3.837
1.554,-3.563
0.287,-1.904
-3.779,2.140
-7.074,-4.549
-5.478,-10.302
-2.113,-1.090
-0.480,9.984
0.655,7.756
2.082,2.934
2.715,4.537
3.113,0.808
4.453,0.758
4.384,1.458
2.768,0.511
2.344,3.537
-1.973,5.550
-3.984,9.285
-2.618,13.595
0.997,12.354
3.085,1.787
3.437,-0.521
-0.634,9.945
-3.337,8.901
-1.840,-0.498
-0.606,-0.233
-2.933,4.288
-5.617,5.370
-2.606,2.989
2.738,9.811
1.577,17.139
-2.324,10.567
-4.376,1.867
-1.623,-3.232
6.297,-6.177
5.053,-3.298
-5.558,-0.584
-6.789,-3.962
-2.720,-7.507
-3.536,-3.563
-6.079,0.486
-4.603,-2.216
-0.627,-4.517
-2.723,-3.398
-8.046,-0.371
-5.963,3.345
3.422,9.100
7.000,1.718
1.049,-10.225
-5.160,-7.538
-8.468,-1.011
-7.799,-2.424
-5.987,-11.326
-5.142,-12.618
-1.923,-2.578
3.551,5.758
5.794,2.137
-0.804,-1.544
-3.041,-0.658
0.701,-4.892
-0.957,-9.729
-6.243,-7.059
-4.675,-4.190
2.751,2.805
4.476,2.780
-1.225,-4.168
-1.697,-1.911
8.282,12.925
9.992,18.719
3.349,5.235
-0.565,-3.859
-0.631,-3.325
3.897,-2.001
4.511,0.722
-2.548,5.692
-6.665,-1.053
-2.780,-10.785
-0.884,-4.901
-0.187,5.091
4.843,5.148
8.378,1.321
6.397,-0.739
1.580,-5.431
-0.121,-5.882
4.423,4.067
9.995,9.268
9.431,4.704
5.465,6.290
2.241,6.020
0.346,-1.274
1.556,-3.481
5.541,2.500
6.489,9.337
6.431,6.304
7.058,3.361
2.783,2.858
-4.563,0.001
-7.869,-2.193
-6.499,-7.658
-1.243,-6.758
4.545,8.572
6.180,11.525
0.393,-3.703
-6.250,-6.660
-4.199,0.629
2.013,3.503
4.691,8.050
4.214,12.568
3.540,7.650
1.096,1.608
0.795,2.968
1.956,6.740
5.294,9.524
8.688,4.525
6.171,-0.156
1.608,4.797
-1.499,9.753
-1.251,6.615
2.661,6.100
5.863,6.362
1.944,2.365
-1.506,0.927
0.272,0.833
1.637,2.184
-0.871,7.395
-3.282,11.517
0.201,1.148
4.221,-7.013
4.379,-2.972
5.680,4.940
2.477,3.852
-2.686,-4.296
-1.734,-3.512
-1.679,-3.799
-1.153,-10.376
0.864,-12.978
-0.944,-12.328
-4.226,-10.143
-6.185,-5.891
-8.391,-5.360
-4.573,-6.099
6.615,-2.713
10.752,-0.010
7.394,5.150
3.683,10.284
-3.195,-0.786
-7.097,-10.417
-3.714,-8.236
2.159,-4.277
7.434,-5.678
10.831,-1.657
7.009,-0.798
1.960,-7.635
0.790,-8.623
1.471,0.335
0.297,-0.584
-0.072,-10.928
2.418,-5.534
3.829,5.737
2.807,7.067
1.077,-1.231
-1.566,-0.922
-0.339,3.384
3.098,1.941
3.518,-6.985
-0.986,-10.249
-3.752,-6.901
0.303,-4.532
-0.458,-6.861
-6.680,-4.097
-4.760,-0.967
3.848,-4.083
8.371,2.594
3.740,13.485
-1.269,6.586
-3.556,-7.216
-5.261,-5.564
-5.816,2.272
-3.079,-1.037
1.063,-8.402
5.589,-2.518
3.578,4.254
-0.412,-0.869
-1.398,-8.558
0.565,-6.937
0.850,-0.226
3.019,2.250
3.491,1.321
-3.765,2.907
-8.334,0.817
-7.291,-3.243
-2.878,-4.875
-4.333,-4.388
-7.245,-2.582
-1.296,-6.045
10.270,-4.622
10.158,4.385
2.839,13.553
1.638,8.652
-0.384,-3.497
-4.511,-7.793
-4.093,-1.840
-1.376,1.123
0.323,-3.460
3.920,1.999
4.753,11.549
2.011,13.506
2.880,13.485
2.389,7.896
-6.156,-8.747
-14.518,-7.148
-11.341,2.913
-5.763,-3.691
-6.937,-14.953
-5.132,-19.983
0.462,-24.597
5.511,-26.511
10.771,-21.214
15.973,-14.026
19.552,-7.738
19.157,1.859
15.865,7.994
10.440,9.004
7.175,9.412
4.874,18.184
-4.340,13.434
-7.780,-2.765
-3.993,-6.392
-5.045,-5.341
-6.986,-4.191
-3.549,1.015
-1.350,1.409
-3.431,-4.725
-4.044,-6.478
-3.191,1.050
-3.836,7.554
-5.052,8.740
-7.033,8.490
-6.166,0.444
-3.406,-6.852
-2.765,-5.823
-2.139,-0.201
-2.934,-0.646
-3.884,-1.294
-2.410,3.412
-3.262,4.368
-3.154,2.286
-5.784,-5.202
-9.196,-6.456
