Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 25/09/2017		Session Time: 8:41:05 PM
Start Time: 00:00:00.000		End Time: 00:01:05.625

EEG-C,EEG-D
256,256
-5.396,-15.684
-3.944,-11.385
-6.016,-8.540
-5.323,-9.914
2.111,-2.653
7.198,6.423
5.134,9.354
4.400,9.212
-1.430,-0.511
-12.191,-13.966
-15.295,-15.085
-8.574,-3.879
-0.462,1.638
5.348,-2.637
5.917,-6.359
4.080,-2.109
-1.068,-0.722
-8.926,-6.925
-11.768,-8.741
-8.599,-3.795
-5.711,-4.268
-4.608,-9.992
0.990,-2.285
-1.969,5.431
-7.414,-2.790
-2.831,-7.997
-4.265,-7.535
-14.593,-15.610
-12.164,-16.357
-5.722,-6.988
-13.435,-1.955
-17.422,-9.270
-11.781,-10.667
-7.296,-3.692
-12.211,-11.592
-15.120,-20.959
-11.805,-22.001
-14.097,-20.977
-14.023,-12.372
-8.252,-2.562
-4.657,-3.825
-7.402,-9.704
-12.499,-9.759
-11.014,-5.774
-9.466,-4.902
-16.016,-10.075
-11.586,-8.491
-5.573,-11.353
-6.229,-23.780
-4.374,-32.384
-2.232,-29.183
3.100,-17.715
8.998,-10.958
10.665,-9.094
5.206,-9.873
-2.218,-9.637
-6.573,-2.619
-8.932,0.909
-6.668,-0.197
-6.504,-3.206
-6.564,-0.525
-5.914,5.859
-4.168,8.872
-2.629,6.598
-7.299,5.104
-13.226,5.458
-9.698,5.737
5.083,9.421
7.294,13.177
0.072,10.396
-0.039,11.003
0.085,13.582
-7.686,11.078
-13.048,7.694
-9.384,6.786
-3.493,7.442
-7.864,1.703
-16.124,-3.390
-16.398,-3.895
-11.430,-1.764
-7.878,2.295
-2.876,4.858
1.902,1.937
-3.540,0.062
-13.086,-1.748
-8.203,0.589
-0.643,0.135
-3.820,-9.664
-4.207,-10.418
-2.454,-3.594
-7.433,1.577
-7.510,2.486
-2.840,-2.381
-6.071,-9.614
-6.746,-7.013
2.666,-0.736
1.609,-2.677
-8.639,-9.501
-8.648,-12.215
-3.969,-8.494
-5.672,-7.520
-5.841,-8.475
-10.190,-12.252
-13.016,-13.203
-11.358,-13.957
-6.595,-14.031
-2.212,-9.316
-4.095,-7.860
-4.121,-6.830
-3.566,-5.670
-9.326,-12.247
-8.786,-15.057
-3.616,-8.008
-1.581,-3.725
-2.545,-6.018
4.768,-2.119
11.273,6.100
4.399,5.445
-8.913,-2.146
-10.312,-4.787
-7.969,-6.562
-4.263,-6.228
-3.489,-3.689
-3.500,-1.140
-5.266,0.085
-5.358,-1.052
-3.044,-3.726
-0.200,-1.316
1.401,2.954
3.946,4.379
1.519,-0.982
-6.835,-10.962
-13.756,-15.502
-6.828,-9.530
4.628,-1.046
1.957,-3.787
-6.859,-10.769
-3.765,-10.715
3.691,-6.263
1.523,-1.885
-8.869,-4.674
-16.075,-11.740
-15.369,-19.028
-2.120,-16.192
11.219,-5.068
8.640,1.115
-3.384,-1.146
-18.467,-9.846
-33.286,-21.388
-35.446,-25.046
-33.415,-21.157
-41.026,-22.125
-48.978,-26.664
-31.044,-12.579
4.727,9.952
26.502,16.823
34.556,17.486
47.034,30.361
43.026,36.421
17.218,22.461
4.350,7.625
14.289,10.465
14.599,9.246
6.901,6.405
6.449,12.142
7.895,13.765
6.317,7.155
9.605,5.667
5.492,3.584
-6.016,-2.806
-9.639,-2.975
-4.541,3.776
5.433,4.312
8.069,-3.976
5.951,-4.257
0.689,1.394
-5.112,-0.482
-9.035,0.443
-3.928,10.921
1.638,16.488
-8.094,-4.073
-12.035,-18.913
-3.449,-0.781
1.458,7.093
0.426,-5.045
-2.611,-17.033
-3.918,-8.755
-4.068,9.974
-5.871,13.177
-9.903,-2.151
-11.282,-8.307
-6.668,6.289
-1.204,21.333
1.033,11.290
-7.871,16.618
-13.987,27.186
-9.009,18.393
-7.350,1.299
-16.453,-11.696
-21.053,-2.144
-15.634,4.605
-16.360,2.168
-14.244,0.839
-5.201,1.475
0.730,-3.580
-6.321,-12.356
-16.023,-23.821
-9.160,-15.615
4.874,-1.486
13.515,-9.803
17.423,-7.292
12.185,9.622
1.982,22.778
-2.613,11.435
-12.553,-11.524
-18.927,-21.411
-13.655,-24.523
-7.839,-19.428
-14.241,-8.482
-19.129,18.933
-15.448,28.723
-12.073,3.639
-14.009,-15.951
-17.578,-20.852
-16.903,-28.074
-11.112,-29.166
-1.830,-11.219
-7.635,-1.365
-20.587,-7.959
-17.157,2.064
-6.658,15.386
0.104,15.311
-1.917,10.060
-8.679,2.270
-12.419,0.008
-4.775,7.021
-4.166,4.992
-7.448,-0.969
-6.074,-10.491
-10.425,-22.396
-12.140,-1.028
-0.207,26.287
4.018,20.444
-3.810,5.838
-4.672,-0.931
-6.214,-13.789
-13.806,-26.533
-15.706,-5.047
-11.218,13.063
-5.114,13.409
-9.806,10.209
-15.300,2.464
-10.553,-4.020
-6.997,-4.607
-6.671,3.049
-11.809,-15.720
-13.727,-31.804
-5.989,-20.817
-0.559,-11.477
0.145,-7.453
1.134,-0.014
-5.328,5.918
-9.754,13.010
-4.546,13.893
-1.635,-2.326
-6.864,-19.801
-8.441,4.245
-4.123,19.077
1.131,-10.669
3.502,-26.725
0.574,-2.502
-1.585,14.812
2.281,12.553
4.760,7.810
3.548,15.095
-0.757,24.445
1.959,9.390
-0.846,-14.672
-10.103,-15.701
-8.212,12.294
1.882,26.436
10.635,13.820
8.376,5.954
-2.993,5.042
-4.029,14.507
2.817,20.959
4.420,7.558
-1.305,-4.780
-6.368,-3.425
-7.258,-7.526
-3.604,-7.674
4.037,0.938
9.252,8.601
6.034,6.052
-0.919,0.531
-3.634,-2.105
3.524,0.008
8.876,5.470
2.000,10.759
-0.919,15.441
1.569,9.783
0.880,6.733
4.977,12.000
12.889,16.564
22.559,38.970
28.722,36.615
16.089,0.192
4.649,-5.194
4.690,23.472
4.436,31.227
2.759,11.453
3.723,0.845
3.461,8.977
4.468,19.275
11.157,17.224
12.946,9.885
10.319,23.283
11.102,39.778
8.868,20.531
8.300,0.129
8.718,8.568
5.377,22.616
0.321,21.677
2.918,12.255
15.523,10.027
22.616,16.258
16.825,23.852
12.866,27.699
11.933,22.378
8.243,12.898
4.319,7.535
8.898,18.875
17.429,31.118
20.419,26.888
14.185,15.169
11.263,10.444
11.855,18.570
6.476,19.147
0.614,12.420
-1.981,11.319
-2.127,16.252
1.701,21.665
2.939,19.457
1.731,13.846
0.153,10.179
0.109,14.394
1.990,21.995
5.524,19.270
5.403,10.898
1.502,12.325
-1.121,22.387
-1.823,19.738
-0.854,6.998
4.737,4.565
10.094,12.199
4.331,9.877
-5.366,-0.516
-7.487,-0.825
-2.955,2.094
3.512,5.923
4.578,7.143
0.080,-0.094
-0.779,-7.601
5.070,-6.784
15.411,-0.725
24.071,5.793
25.836,6.017
18.090,2.905
6.527,4.130
2.704,5.926
1.692,10.759
-2.281,9.825
-5.521,-3.371
-4.967,-11.278
-5.264,-6.717
-4.514,-0.162
-4.101,-1.192
0.568,3.061
2.176,7.962
-7.316,0.851
-13.174,-12.350
-3.363,-12.182
2.962,-3.759
-0.006,0.189
-5.584,-2.322
-8.063,-3.581
-4.756,-4.691
-5.183,-9.069
-9.438,-9.804
-8.787,-0.704
-3.373,4.830
-3.948,-6.555
-12.025,-18.750
-11.149,-18.248
-3.365,-8.832
-4.965,-4.398
-8.401,-11.610
-5.575,-11.110
-1.065,1.264
-3.495,2.524
-5.803,-2.967
-4.164,3.889
-6.102,-1.873
-11.823,-16.157
-9.160,-12.898
-1.303,-5.370
1.918,-6.370
-0.530,-9.534
-2.898,-11.332
1.045,-10.570
-0.344,-8.158
-10.596,-10.566
-15.503,-9.904
-7.197,-6.220
3.257,-9.483
1.502,-14.025
-10.042,-16.705
-16.579,-13.472
-12.029,-9.215
-6.981,-10.769
-4.198,-10.703
-1.938,-12.724
2.678,-6.777
6.304,-2.410
2.116,-10.399
0.002,-14.293
-1.482,-9.675
-2.862,-7.534
