Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 25/09/2017		Session Time: 9:17:37 PM
Start Time: 00:00:00.000		End Time: 00:01:02.125

EEG-C,EEG-D
256,256
-5.152,27.372
-3.061,126.481
-6.247,103.825
-7.179,45.053
-2.179,31.896
2.059,-5.694
4.402,-76.328
4.860,-73.006
1.887,26.647
-1.555,98.155
-2.836,49.608
-0.933,-42.592
-2.021,-59.608
-7.690,-4.638
-4.994,35.499
5.301,30.731
6.280,14.942
-1.989,5.264
-0.993,-10.247
4.848,-28.517
3.402,-17.333
-3.901,29.243
-5.168,53.666
-0.934,7.902
2.572,-55.750
6.799,-44.192
6.414,34.891
-1.430,77.729
-7.581,27.597
-4.330,-46.903
2.766,-55.580
10.124,2.565
9.754,47.386
-1.490,27.143
-7.746,-19.862
-4.821,-28.148
2.594,-0.513
4.783,16.820
3.958,15.567
2.769,10.092
-2.329,2.897
-3.416,-7.985
2.912,-17.513
8.125,-7.008
11.574,27.045
6.066,42.831
-3.144,9.516
-1.897,-35.547
8.916,-29.690
15.029,23.949
9.139,58.211
-0.587,25.891
-5.284,-37.902
-0.769,-48.374
5.348,10.906
4.966,59.941
-3.146,34.116
-7.316,-27.221
-5.074,-44.783
-3.976,-3.639
-3.156,37.534
2.378,27.572
5.322,-10.863
-1.173,-28.142
-4.987,-3.640
-3.230,26.204
-7.398,17.562
-11.890,-8.651
-6.271,-19.281
-2.361,-12.109
-1.937,-3.271
0.708,2.153
1.218,4.025
1.279,3.980
1.900,-6.069
3.035,-22.891
2.402,-21.527
-2.440,3.111
-5.969,24.644
-4.695,8.334
1.601,-27.539
4.214,-34.748
5.360,-0.731
6.015,37.573
-0.554,26.895
-8.778,-25.374
-5.039,-48.108
5.146,-7.255
7.118,42.504
5.143,36.757
6.241,-14.422
10.616,-45.663
8.130,-17.946
-2.093,28.204
-9.428,29.042
-9.524,-13.410
-4.784,-43.122
2.588,-19.124
6.955,28.698
3.028,33.747
-3.169,-5.096
-8.906,-30.554
-8.149,-21.398
2.798,2.614
12.573,15.418
11.089,4.889
3.601,-12.503
0.058,-17.061
1.958,-6.611
2.018,5.112
-4.290,7.032
-5.294,1.377
3.073,-4.232
3.037,-11.853
-8.591,-12.945
-15.042,-2.239
-6.334,9.879
-0.611,5.992
-4.899,-12.701
-6.475,-23.232
0.449,-5.625
6.173,21.461
5.127,24.296
2.584,-1.343
2.477,-25.470
3.572,-16.008
-0.542,21.131
-7.283,37.958
-6.380,8.946
2.259,-27.240
8.423,-25.178
10.341,12.791
13.941,36.479
