Export Channel Data with rate of 256 samples per second.

Client: 1225010 - mike ma	Channel Set: PI 2 EEG & Coherence.chs
Session Date: 26/09/2017		Session Time: 3:46:07 PM
Start Time: 00:00:00.000		End Time: 00:01:01.688

EEG-C,EEG-D
256,256
6.480,19.426
5.014,20.120
-0.791,11.771
2.284,49.514
2.978,16.550
2.120,-16.894
-1.652,-19.255
3.376,-5.303
13.077,10.414
8.614,7.975
-1.459,2.348
1.669,1.284
4.121,-12.313
-2.251,-14.195
-4.766,3.502
-0.897,11.697
-1.268,-5.254
-4.365,-18.955
-1.693,-13.033
3.306,-9.640
2.951,-8.295
5.081,5.135
7.598,13.651
4.193,7.658
0.789,-2.477
0.927,-5.932
-2.031,-1.235
-6.425,-6.420
-6.921,-23.521
-1.009,-9.037
-2.525,-0.957
-6.128,-19.603
-5.881,-23.371
-5.341,-1.660
-5.783,3.389
-7.341,-19.522
-7.040,-27.993
-2.568,-5.871
0.857,12.220
-0.156,6.850
-3.723,-6.851
-4.915,-2.642
0.511,14.719
1.691,7.958
-0.774,-7.383
-1.298,-13.680
-1.884,-9.708
-0.974,-9.075
0.892,-15.153
3.270,-2.778
7.443,24.421
8.819,27.795
1.905,-3.501
-5.202,-23.792
-4.150,-19.976
0.089,-10.305
2.667,3.966
2.940,9.652
3.783,1.900
4.136,-2.967
4.545,7.565
4.779,23.994
-0.626,22.340
-3.923,18.411
2.676,26.221
4.418,8.759
-0.382,-4.872
-2.175,0.072
-2.598,-8.693
-3.619,-16.941
-3.221,-7.696
1.140,-6.475
7.068,-12.187
8.292,-9.923
6.484,4.681
3.548,3.047
-3.310,-13.451
-6.325,-14.281
-2.387,3.018
0.902,12.066
0.005,7.371
-0.936,8.007
1.892,12.492
5.778,7.678
5.668,-0.235
3.811,-4.011
6.473,-2.814
9.316,-0.701
3.501,-0.064
2.206,11.953
9.128,22.992
11.786,15.706
10.830,10.842
13.160,22.282
12.037,22.827
5.684,10.987
2.127,4.982
2.906,7.231
5.152,12.602
3.086,3.951
-0.057,-19.753
-1.173,-22.341
-0.147,3.024
1.907,13.567
-0.097,-0.696
-3.921,-8.407
-6.806,-9.918
-5.330,-14.438
0.929,-10.560
1.894,3.058
1.762,18.964
2.214,18.537
-2.929,-0.395
-7.453,-18.276
-4.845,-14.568
2.319,-0.510
7.725,5.123
7.710,13.788
3.183,-1.272
-0.403,-24.914
-4.915,-16.525
-11.877,-14.046
-12.941,-27.038
-7.546,-25.117
-2.095,-2.039
-0.485,13.244
-2.042,0.027
-1.659,-0.380
1.070,5.809
0.548,-15.436
-4.596,-32.090
-6.636,-11.582
-4.756,11.580
-5.936,10.499
-7.317,5.151
-4.306,-1.844
-1.473,-14.101
-3.501,-19.852
-4.633,-1.281
-2.401,2.923
-3.287,-18.480
-1.891,-20.086
3.364,-0.734
-0.209,-3.047
-9.918,-8.599
-10.694,5.279
-6.472,-7.435
-3.814,-36.671
0.429,-25.559
2.472,0.336
-0.787,0.269
-2.991,-7.134
-0.054,3.817
2.529,11.119
-0.021,-4.014
-4.322,-20.865
-6.595,-13.481
-2.411,4.830
3.957,7.542
2.227,-2.420
-0.161,-2.070
4.338,17.977
1.618,18.052
-3.589,0.955
2.649,-6.703
7.972,-10.940
1.931,-18.238
-3.907,-11.878
0.155,3.110
2.674,9.088
0.857,11.319
4.382,15.634
2.551,-3.145
-7.429,-28.862
-13.372,-30.389
-7.313,-10.753
3.720,8.721
7.543,10.829
6.682,7.729
4.845,6.588
1.236,3.385
-0.869,5.563
1.913,8.792
3.139,0.804
-2.904,-18.119
-4.633,-12.735
1.179,7.446
4.589,8.962
6.667,7.241
10.401,9.039
10.046,-0.473
6.542,-3.737
5.596,8.727
8.303,18.855
4.286,1.734
-3.508,-19.458
-2.804,-17.252
2.158,-9.968
-0.687,-11.615
-9.318,-8.213
-8.278,13.275
-3.328,19.835
-6.596,-4.452
-11.398,-16.737
-4.938,11.113
3.265,26.184
1.563,5.909
-2.428,-14.343
0.617,-17.015
3.950,-9.543
3.329,0.562
2.161,13.007
-0.419,19.314
-2.325,10.432
-0.077,-7.174
4.752,-17.295
6.784,-14.259
6.658,5.412
4.033,19.450
-0.871,16.112
-0.668,12.702
3.362,5.221
4.574,-5.480
0.123,-6.636
0.882,17.065
4.252,22.123
0.989,2.915
-2.942,-10.816
-2.543,-8.790
2.176,-8.769
3.053,-10.969
-1.308,10.048
-4.923,14.524
-9.586,-8.992
-11.717,-20.034
-9.678,-14.432
-6.284,-9.859
-5.178,-5.248
-5.256,16.082
-3.927,33.860
-7.825,17.360
-13.104,-4.521
-9.847,-3.986
-8.813,-3.490
-13.050,-5.884
-14.423,-3.005
-11.253,4.412
-8.474,10.776
-12.960,-0.605
-17.842,-23.168
-15.423,-19.029
-9.962,-0.534
-10.482,-5.064
-9.391,-11.007
1.000,3.715
7.200,21.840
0.081,17.202
-6.932,-7.554
-2.063,-22.219
6.516,-2.677
5.664,18.666
0.093,17.001
3.941,15.388
5.578,9.225
1.275,2.982
0.380,6.467
6.253,14.778
12.481,13.641
11.571,15.623
6.280,15.801
4.359,0.636
6.236,-11.786
5.379,-7.095
7.564,10.443
12.097,22.239
14.794,21.242
13.985,21.177
6.263,20.871
-2.152,12.561
-6.880,-4.152
-6.257,-18.242
-4.216,-16.104
-3.368,-5.989
-1.355,-2.441
3.175,-1.576
7.730,0.374
10.281,2.376
10.275,4.572
9.664,6.086
11.676,14.407
10.147,9.989
1.917,-6.181
-0.634,-5.758
5.155,6.575
7.304,7.619
6.627,0.386
3.263,-17.721
2.919,-31.277
11.348,-11.785
14.421,5.206
7.219,-6.976
1.804,-14.886
1.960,-17.005
0.482,-21.325
-2.840,-14.390
-2.848,-2.265
1.212,2.184
3.415,-4.577
-1.989,-7.619
-2.449,5.632
6.555,22.660
8.411,14.641
3.312,2.929
0.067,6.323
-2.819,12.087
-3.891,15.508
-4.780,18.404
-7.672,10.075
